,sample,-Log2(dilution),x,y,Dist (wood),Dist (pencil)
0,wo,1,242.42777404785159,277.0763870239258,0.0,246.99099721597506
1,pe,1,423.3166442871095,108.89859619140624,246.99099721597506,0.0
