Kingdom,Phylum,Class,Order,Family,Genus,Species,num_hits,%_hits
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces_stellenboschiensis,8,0.023
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Paraconiothyrium,Paraconiothyrium_sp,8,0.023
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Cosmospora,Cosmospora_sp,8,0.023
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaetopsis,Pyrenochaetopsis_leptospora,8,0.023
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Dictyosporiaceae,Pseudocoleophoma,Pseudocoleophoma_sp,8,0.023
Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium_bostrychodes,8,0.023
Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia_eucalypti,8,0.023
Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium_nigricolor,8,0.023
Fungi,Ascomycota,Dothideomycetes,Valsariales,Valsariaceae,Valsaria,Valsaria_lopadostomoides,8,0.023
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Isaria,Isaria_cateniannulata,8,0.023
Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Stenella,Stenella_queenslandica,8,0.023
Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha,Hyaloscypha_minuta,8,0.023
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Berkleasmium,Berkleasmium_sp,8,0.023
Fungi,Ascomycota,Sordariomycetes,Pleurotheciales,Pleurotheciaceae,Pleurotheciella,Pleurotheciella_rivularia,7,0.020
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus_keveii,7,0.020
Fungi,Ascomycota,Sordariomycetes,Togniniales,Togniniaceae,Phaeoacremonium,Phaeoacremonium_scolyti,7,0.020
Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha,Hyaloscypha_sp,7,0.020
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp,7,0.020
Fungi,Entomophthoromycota,Basidiobolomycetes,Basidiobolales,Basidiobolaceae,unidentified,Basidiobolaceae_sp,7,0.020
Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Scytalidium,Scytalidium_sphaerosporum,7,0.020
