,sample,-Log2(dilution),x,y,Dist (wood),Dist (pencil)
0,wo,2,246.4611968994141,282.94304809570315,0.0,247.65776019854331
1,pe,2,415.61667785644545,102.05416107177734,247.65776019854331,0.0
2,B1,2,324.68338928222664,275.1208221435547,78.61233109392064,195.5017446097492
