,sample,-Log2(dilution),x,y,Dist (wood),Dist (pencil)
0,wo,1,239.61667785644534,269.2541778564453,0.0,239.7051575014469
1,pe,1,419.52777404785166,110.8541778564453,239.7051575014469,0.0
