,sample,0,24,47,185
0,A1,0.0,0.14,0.361,0.415
1,A2,0.0,0.313,0.41200000000000003,0.385
2,A3,0.0,0.06,0.488,0.383
3,A4,0.0,0.001,0.382,0.458
4,A5,0.0,0.1,0.474,0.482
5,,0.0,0.249,0.602,0.368
6,A6,0.0,0.249,0.602,0.368
7,A6,0.0,0.249,0.602,0.368
8,A6,0.0,0.249,0.602,0.368
